,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
EXPR,,,,,EXPR → SA3 ARITHEXPR EXPR2 SA8,EXPR → SA3 ARITHEXPR EXPR2 SA8,,,,,,,,,,,,,,,EXPR → SA3 ARITHEXPR EXPR2 SA8,EXPR → SA3 ARITHEXPR EXPR2 SA8,,,,,,,,,,,,,,,,,,,,,,EXPR → SA3 ARITHEXPR EXPR2 SA8,EXPR → SA3 ARITHEXPR EXPR2 SA8,EXPR → SA3 ARITHEXPR EXPR2 SA8,,,
EXPR2,,,,EXPR2 → &epsilon,,,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → id SA1 FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,,,,,,,FACTOR → SIGN SA3 FACTOR SA11,FACTOR → SIGN SA3 FACTOR SA11,,,,,,,,,,,,,,,,,,,,,,FACTOR → not SA1 SA3 FACTOR SA11,FACTOR → floatlit SA1,FACTOR → intlit SA1,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar SA3 APARAMS SA33 rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → &epsilon,,FPARAMS → SA3 SA3 id SA1 colon TYPE SA3 REPTFPARAMS3 SA4 SA38 REPTFPARAMS4 SA30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → SA3 comma id SA1 colon TYPE SA3 REPTFPARAMSTAIL4 SA4 SA38,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr SA3 REPTLOCALVARORSTAT SA20 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → SA3 function id SA1 FUNCHEADTAIL SA31,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id SA1 lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword SA1 lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
IDNEST,,,,,,,IDNEST → dot SA1 id SA1 IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar SA3 APARAMS SA33 rpar,,IDNEST2 → REPTIDNEST1,,,IDNEST2 → REPTIDNEST1,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,IDNEST2 → REPTIDNEST1
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr SA3 ARITHEXPR SA34 rsqbr,,,,,,,
LOCALVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALVARDECL → SA3 localvar SA1 id SA1 colon TYPE ARRAYOROBJECT semi SA6,,,,,,,,,
LOCALVARORSTAT,,,,,,LOCALVARORSTAT → SA3 STATEMENT SA7,,,,,LOCALVARORSTAT → SA3 STATEMENT SA7,LOCALVARORSTAT → SA3 STATEMENT SA7,LOCALVARORSTAT → SA3 STATEMENT SA7,LOCALVARORSTAT → SA3 STATEMENT SA7,,,LOCALVARORSTAT → SA3 STATEMENT SA7,,,,,,,,,,,,,,,,,,,,,,,LOCALVARORSTAT → LOCALVARDECL,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → SA3 MEMBERVARDECL SA29,MEMBERDECL → SA3 MEMBERFUNCDECL SA28,,MEMBERDECL → SA3 MEMBERFUNCDECL SA28,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,MEMBERFUNCDECL → MEMBERFUNCHEAD semi,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD → constructorkeyword SA1 colon lpar FPARAMS rpar,,MEMBERFUNCHEAD → function SA1 id SA1 colon lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL → attribute id SA1 colon TYPE SA3 REPTARRAYSIZE SA4 semi,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and SA1,MULTOP → div SA1,MULTOP → mult SA1,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,,OPTINHERITS → &epsilon,,,,,,,,,,,,OPTINHERITS → isa id SA1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,PROG → SA3 REPTPROG0 SA24,,,,,,,,,,,,,,,,,,,PROG → SA3 REPTPROG0 SA24,,,,,,,,PROG → SA3 REPTPROG0 SA24,,
RELEXPR,,,,,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,,,,,,,,,,,,,,,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,,,,,,,,,,,,,,,,,,,,,,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,RELEXPR → SA3 ARITHEXPR RELOP ARITHEXPR SA14,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq SA1,RELOP → leq SA1,RELOP → gt SA1,RELOP → lt SA1,RELOP → neq SA1,RELOP → eq SA1,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,,,,,,,REPTARRAYSIZE → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTARRAYSIZE → ARRAYSIZE REPTARRAYSIZE,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,REPTINHERITSLIST → &epsilon,,,,,REPTINHERITSLIST → comma id SA1 REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT → LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL → SA3 VISIBILITY MEMBERDECL SA27 REPTMEMBERDECL,REPTMEMBERDECL → SA3 VISIBILITY MEMBERDECL SA27 REPTMEMBERDECL,,,,,,,,,,,,,,,REPTMEMBERDECL → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,,,,,,REPTPROG0 → &epsilon,,,,,,,,,,,,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 → CLASSDECLORFUNCDEF REPTPROG0,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,,,,,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,,,REPTSTATBLOCK1 → SA3 STATEMENT SA7 REPTSTATBLOCK1,REPTSTATBLOCK1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,REPTVARIABLEORFUNCTIONCALL → IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon,,,,,,,,REPTVARIABLEORFUNCTIONCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,,RETURNTYPE → void SA1,,,,,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP SA3 FACTOR SA11 RIGHTRECTERM,RIGHTRECTERM → MULTOP SA3 FACTOR SA11 RIGHTRECTERM,RIGHTRECTERM → MULTOP SA3 FACTOR SA11 RIGHTRECTERM,,,,,,,RIGHTRECTERM → &epsilon,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,SIGN → minus SA1,SIGN → plus SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,
START,,,,,,,,,,,,,,,,,,,,START → SA3 PROG SA23 eof,,,,,,,,,,,,,,,,,,,START → SA3 PROG SA23 eof,,,,,,,,START → SA3 PROG SA23 eof,,
STATBLOCK,,,,,,STATBLOCK → SA3 STATEMENT SA7,,,,STATBLOCK → &epsilon,STATBLOCK → SA3 STATEMENT SA7,STATBLOCK → SA3 STATEMENT SA7,STATBLOCK → SA3 STATEMENT SA7,STATBLOCK → SA3 STATEMENT SA7,STATBLOCK → &epsilon,,STATBLOCK → SA3 STATEMENT SA7,,STATBLOCK → lcurbr REPTSTATBLOCK1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id SA1 STATEMENTIDNEST semi,,,,,STATEMENT → SA3 return lpar EXPR rpar semi SA19,STATEMENT → SA3 write lpar EXPR rpar semi SA18,STATEMENT → SA3 read lpar VARIABLE rpar semi SA17,STATEMENT → SA3 while lpar RELEXPR rpar STATBLOCK semi SA16,,,STATEMENT → SA3 if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi SA15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar SA3 APARAMS SA33 rpar STATEMENTIDNEST2,,STATEMENTIDNEST → dot SA1 id SA1 STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot SA1 id SA1 STATEMENTIDNEST,,,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot SA1 id SA1 STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR,
TERM,,,,,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,,,,,,,,,,,,,,,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,,,,,,,,,,,,,,,,,,,,,,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,TERM → SA3 SA3 FACTOR SA11 SA3 RIGHTRECTERM SA13 SA10,,,
TYPE,,,,,,TYPE → id SA1,,TYPE → float SA1,TYPE → integer SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → SA3 id SA1 VARIABLE2 SA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar SA3 APARAMS SA33 rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → SA3 dot SA1 id SA1 VARIDNEST2 SA37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar SA3 APARAMS SA33 rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,
VISIBILITY,,VISIBILITY → private SA1,VISIBILITY → public SA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA1,SA1 → &epsilon,,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,,SA1 → &epsilon,,,,,,,,,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,SA1 → &epsilon,,SA1 → &epsilon,SA1 → &epsilon
SA2,,,,SA2 → &epsilon,,,,,,SA2 → &epsilon,,,,,,,,,,,,,,SA2 → &epsilon,,,,,,,,,,,,,,,,,,SA2 → &epsilon,,,,,,,
SA3,,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,,,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,,,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,,SA3 → &epsilon,SA3 → &epsilon,,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon,SA3 → &epsilon
SA4,,,,SA4 → &epsilon,,,,,,SA4 → &epsilon,,,,,,,,,,,,,,SA4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA5,,,,SA5 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6,,,,,,SA6 → &epsilon,,,,,SA6 → &epsilon,SA6 → &epsilon,SA6 → &epsilon,SA6 → &epsilon,,,SA6 → &epsilon,SA6 → &epsilon,,,,,,,,,,,,,,,,,,,,,,SA6 → &epsilon,,,,,,,,,
SA7,,,,,,SA7 → &epsilon,,,,SA7 → &epsilon,SA7 → &epsilon,SA7 → &epsilon,SA7 → &epsilon,SA7 → &epsilon,SA7 → &epsilon,,SA7 → &epsilon,SA7 → &epsilon,,,,,,,,,,,,,,,,,,,,,,SA7 → &epsilon,,,,,,,,,
SA8,,,,SA8 → &epsilon,,,,,,SA8 → &epsilon,,,,,,,,,,,,,,SA8 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,
SA9,,,,SA9 → &epsilon,,,,,,SA9 → &epsilon,,,,,,,,,,,,,,SA9 → &epsilon,SA9 → &epsilon,SA9 → &epsilon,SA9 → &epsilon,SA9 → &epsilon,SA9 → &epsilon,SA9 → &epsilon,,,,,,,,,,,SA9 → &epsilon,,,,,,,,
SA10,,,,SA10 → &epsilon,,,,,,SA10 → &epsilon,,,,,,,,,,,SA10 → &epsilon,SA10 → &epsilon,,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,SA10 → &epsilon,,,,,,,,,,,SA10 → &epsilon,,,,,,,,SA10 → &epsilon
SA11,,,,SA11 → &epsilon,,,,,,SA11 → &epsilon,,,,,,,,,,,SA11 → &epsilon,SA11 → &epsilon,,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,,SA11 → &epsilon,SA11 → &epsilon,SA11 → &epsilon,,,,,,,SA11 → &epsilon,,,,,,,,SA11 → &epsilon
SA12,,,,SA12 → &epsilon,,,,,,SA12 → &epsilon,,,,,,,,,,,,,,SA12 → &epsilon,SA12 → &epsilon,SA12 → &epsilon,SA12 → &epsilon,SA12 → &epsilon,SA12 → &epsilon,SA12 → &epsilon,,,,,,,,,,,SA12 → &epsilon,,,,,,,,
SA13,,,,SA13 → &epsilon,,,,,,SA13 → &epsilon,,,,,,,,,,,SA13 → &epsilon,SA13 → &epsilon,,SA13 → &epsilon,SA13 → &epsilon,SA13 → &epsilon,SA13 → &epsilon,SA13 → &epsilon,SA13 → &epsilon,SA13 → &epsilon,,,,,,,,,,,SA13 → &epsilon,,,,,,,,SA13 → &epsilon
SA14,,,,SA14 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA15,,,,,,SA15 → &epsilon,,,,SA15 → &epsilon,SA15 → &epsilon,SA15 → &epsilon,SA15 → &epsilon,SA15 → &epsilon,SA15 → &epsilon,,SA15 → &epsilon,SA15 → &epsilon,,,,,,,,,,,,,,,,,,,,,,SA15 → &epsilon,,,,,,,,,
SA16,,,,,,SA16 → &epsilon,,,,SA16 → &epsilon,SA16 → &epsilon,SA16 → &epsilon,SA16 → &epsilon,SA16 → &epsilon,SA16 → &epsilon,,SA16 → &epsilon,SA16 → &epsilon,,,,,,,,,,,,,,,,,,,,,,SA16 → &epsilon,,,,,,,,,
